posada,name,id,category,transport,incomes,assets,land,house,transport_cost
" депутат, Новомикільська сільська рада",дябелко сергій володимирович,d965672e-1f5d-4ea1-9741-193b1fb7a83c,1,"Т-150К Т-150К, НИВА, МТЗ-920, NEW HOLLAND TD 5.110, ГАЗ 53Б, TOYOTA LAND CRUISER 3.0, ЮМЗ 46, CITROEN JUMPY L2H1, NEW HOLLAND CS 6090",1043572,0,1857414,18456.1,0
" Депутат, Воронцівська сільська рада",салатенко руслан миколайович,c7fc0a72-3fd0-4c84-a376-9abc79761d07,1,0,85499,0,150365,18451.1,0
" секретар, депутат сільської ради, Виконавчий комітет Осітнянської сільської ради",рижій тамара андріївна,d3979424-6ffe-4e75-871e-85f8da1364f3,1,volkswagen transporter,134210,0,0,18378.5,0
" Депутат Різниківської сільської ради, голова, СФГ Колінько В.І.",колінько віктор іванович,92431629-d08f-46d2-aa07-770bcb12b22f,1,"немає_даних, ВАЗ 210994-20, МТЗ-80",51700,0,97101,18347.5,59500
" Інженер з охорони праці, депутат Луківської сільської ради, Відділ освіти Калуської районної державної адміністрації",обельницька світлана анатоліївна,d2e2cc42-9c3b-4fed-a6a3-344ebcd9d900,1,ВАЗ 2101,82700,0,1500,18273,0
" Немає, Не працюю, депутат сільської ради",крижанівський руслан миколайович,69a17d0e-36b7-46b3-8ddf-ada48325b76f,1,"Мерседес - Венс Спрінтер 311 CDI, MTЗ-82.1 Білорус",0,0,24600,18203.7,100000
" голова фермерського господарства, Депутат обласної ради, Фермерське господарство"" Подільська марка"", Депутат обласної ради",боднар сергій борисович,2afbda63-daeb-484e-b8ce-25eaad04f194,1,"Рінен сна, Фольксваген КАді, САЗ 3507, сіат інка, Фольксваген каді, Тойота Ленкрузер, Мерседес Бенц, Мерседес Бенц, ГКБ 8350, МАЗ 9397, ГКБ 8350, АМС 500 старконь, ГАЗ 53Б, ГКБ 819, ФАНРЗЄУГ, ФІАТ СКУДО, Даф ХФ, ГАЗ 31029, Мерседес Бенс, Газ 52 3480, ГКБ 8350, Мерседес Бенц, Мерилін 22, Мерседес Бенц",1106476,1621680.575,411668,18111.4,0
" депутат Жовтоводськоі міськоі ради, Фізична - особа підприємець",затинацький ігор анатолійович,afd455d7-7039-4b7a-b383-fa16cacd2df6,1,"SCHMITZ SK024, Мерседес Бенц 809 Мерседес Бенц 809, VOLVO FH12, Мерседес Бенц 308D Мерседес Бенц 308D, ЗАЗ 110557 ЗАЗ 110557, MERCEDES-BENZ VARIO 815 D, MERCEDES-BENZ E 250 CGI, SCANIA R310, МАН 8.180 MAN 8.180, MERCEDES-BENZ SPRINTER 413 CDI, VOLKSWAGEN CADDY, Мереседес Бенц ATEGO 815 ATEGO 815 СПА-МА-8-260-1, VOLVO FH, SCANIA R340, Мерседес ATEGO1317L СПА-МА13-370-1, VOLVO FH12 420, VOLVO FH12.460, BMW X5, VOLKSWAGEN GOLF, MERCEDES-BENZ SPRINTER, DAF XF 95.480, KOEGEL, SCHARZMULLER SPA-3E, Мерседес Бенц 413D, FRUEHAUF TX 34, MERCEDES-BENZ SPRINTER 308 CDI, Мерседес Бенц 207D Мерседес Бенц 207D, MERCEDES-BENZ 311CDI, Даймлер Крайслер Спрінтер 413 СDI 904.6, МАН TGL 8.180 МАN TGL 8.180, ЗАЗ 110557 ЗАЗ 110557, DAF XF 105.410T, SCHMITZ WF 18",2335635,0,35400.2,18043.5,6389125
" депутат Баранівської сільської ради, пенсіонер",столмаченко микола степанович,7a22cc19-3007-4a75-8d65-b21b211b16f7,1,"МТЗ 80, ВАЗ 21061",16440,0,168779,17955.8,0
" Шофер (Депутат), Центральна районна лікарня",юрчак іван захарович,47e50d31-1d8d-4c13-a514-e067ebe7395b,0,"ГАЗ 66, Т-40 АМ, ИЖ П-ЗК, УАЗ 3741",19653,0,19800,17535.8,0
" Депутат сільської ради, Злазненська сільська рада",третяк алла степанівна,087b5481-8984-42b9-82ba-ac96f5195422,1,0,84007,0,40,17482.3,0
" Голова СФГ ""ЛАН"" ( Депутат Славутської районної ради), СФГ ""ЛАН""",прус валерій федорович,d83c212e-a729-4e16-b56e-bf47f84c08bb,1,Тойота Королла,638322,729747.798,612448,17388.5,0
" фізична особа-підприємець, депутат Мамаївської сільської ради, Фізична особа-підприємець",цуркан георгій федорович,83f19f8e-11db-4cef-8914-d3fd449e99a3,1,MITSUBISHI PAJERO SPORT 2.5 TD,149978,0,5362,17383,0
" Депутат Поліської сільської ради, Тимчасово не працюю",яриніч михайло степанович,005cc8d6-cde9-46bd-af18-bd9e1aafec5d,1,0,52450,0,0,17300,0
" депутат Покащівської сільської ради Ківерцівського району Волинської області, Тимчасово не працюю",сидорович михайло овдійович,6dff363b-2a8f-4ef6-95d4-574577a340c4,1,ВАЗ 2143,146300,0,0,17286.9,0
" Народний депутат України, Верховна Рада України",заболотний григорій михайлович,ad31f5a2-6dd8-4803-aa07-b2c9ad91c748,2,0,466160,571575.625875,1180,17261.8,0
" депутат Новотроїцької районної ради, фізична особа-підприємець",філенко геннадій гаврилович,d566c44c-2d1a-4b37-afdc-0feeee593f77,1,"ГАЗ-САЗ 3507, ОДАЗ 9370, ГАЗ-САЗ 3507, ГБК 8328, TOYOTA CAMRY, DAF XF 95.480, САЗ 3507, HYUNDAI ACCENT, DAF 95XF, КАМАЗ 5410, ЗИЛ-ММЗ 4505, КАМАЗ 55111, САЗ 3507, KRONE AZW 18, МАЗ 5334, CARDI 213, ГБК 8350ПЕ, ГБК 8350ПЕ, ГАЗ 5312, СЗАП 8551 А, КАМАЗ 5320, КАМАЗ 55102, ГАЗ 53",9460980,0,27893.28,17204.85,0
" депутат, Турятська сільська рада",георгіу петро петрович,8100ae94-28ca-4fdd-a37b-0d8fcbc03dd6,1,ВАЗ 21073,92712,0,10000,17180,37000
" головний спеціаліст відділу персоніфікованого обліку з питань обслуговування інвалідів, ветеранів війни та праці, Управління соціального захисту населення Шаргородської районної державної адміністрації",депутат людмила василівна,7d437759-c312-4846-864c-78b38ec389d4,1,0,169218,0,0,17124.2,0
" Депутат селищної ради, Депутат селищної ради",таран василь анатолійович,a46990a5-0b75-4ac0-ae5e-8921b6d731c7,1,"Мопед DELTA 50EX50QT-B, ММВЗ-3112 Мінск, М2125 Москвич",36360,0,0,17076,10310
" не працює, депутат Піщанобрідської сільської ради",чернишенко олександр олександрович,22a45181-a7df-47c0-b96b-8cb2f9ef3117,1,"ВАЗ ЛАДА КАЛИНА, ЗАЗ Славута",37233,0,88424,17060,90000
" депутат сільської ради, Крутеньківська сільська рада",бойко руслан афанасійович,6b2891a8-ac32-4795-93e9-aad39630358a,1,0,25749,0,15000,17055.3,0
" депутат, Балтська районна рада Одеської області",власюк олег сергійович,54301037-54f8-4696-9c8c-ec99bf9569ce,1,"GREAT WALL SAFE, ГКБ 8350",1152452,0,45038,16821.7,0
" Депутат місцевої ради, Недогарківська сільська рада",скринько любов яківна,596c6034-78a9-4369-ba93-d0fe6c7b43aa,1,0,95788,0,4100,16795,0
" Депутат сільської ради, Острівецька сільська рада Уманського райорну Черкаської області",пахолюк галина петрівна,58e652f3-f47e-454d-bfe8-ad80b7e03594,1,"150, LEXUS LS 460, CLAAS  LEXION 480, CLAAS  LEXION 580, LAND ROVER RANGE ROVER,  ПВА-1, 3ПТС 12Б, LEXUS RX350, МТЗ 80, VOLKWAGEN PASSAT, PORSCHE CARRERA, БЕЛАРУС 892, LEXUS LX 570, КАМАЗ 55111, HYUNDAI TUCSON, MASSEY FERGUSJN ME 40, МТЗ 80, 3ПТС 12, ХТЗ 17211-21",5601138,4704000,855711,16749.2,7738981
" депутат, Переяслав-Хмельницька районна рада",павлушко юрій іванович,18cd0d33-132f-4c3c-a480-964763cd2b9e,1,"Toyota Camry, Rang Rover Sport",4262937,11888233.66,2062994,16690.2,0
" Депутат сільської ради, Вікторівська сільська рада",костюк тетяна петрівна,dd6ff437-4abf-45d5-9bcc-41048221f95a,1,0,139954,0,5258,16680.9,0
" депутат, Новомикільська сільська рада",дябелко ольга анатоліївна,1f3af63e-4617-4f1e-a64b-6bc0b13f0863,1,"ЮМЗ-46 ЮМЗ-46, Нива, Citroen Jumpy L2H1, ГАЗ 53Б, TOYOTA LAND CRUISER 3.0, NEW HOLLAND CS 6090, Т-150К Т-150К, NEW HOLLAND TD 5.110, МТЗ-920 МТЗ-920",1043572,0,1868302,16567.9,0
" депутат Велимченської сільської ради , тимчасово не працююча",гайдучик олена василівна,b7409bd5-d533-4204-81dc-553ca030ea6f,1,"Ford Transit, Т-25 1066519",40787,0,8500,16450.4,0
" майстер лісу (депутат Камянської сільської ради), Державне підприємство ""Сторожинецьке лісове господарство""",лазоренко юрій вікторович,334ebb5a-be2b-471f-98ef-741e0c5bf864,3,"NISSAN QASHQAI, ВАЗ 21013, ВАЗ 212140, ВАЗ 21013",253967,1403495.2109,7612,16392.7,0
" пенсіонер (депутат сільської ради), Не працюю",годований юрій іванович,86f2bfd7-71d0-4120-840f-3f5c45685871,1,ЗАЗ  Форза,36988,0,5940,16356.7,0
" Депутат місцевої ради, ТОРЕЦЬКА МІСЬКА РАДА",рибак ігор анатолійович,26ad7bea-6d6f-4e77-aac0-6255d680ae96,1,"ГАЗ 33021 212 СПГ, ГКБ 8350, ГАЗ 33021 212СПГ, ГКБ 8350, ВАЗ 21099, КАМАЗ 53212, КАМАЗ 53202, LEXUS ES 300, LAND ROVER RANGE ROV",1004225,5498652.556643,25080,16258.11,1103500
" Управляючий, депутат Новоукраїнської міської ради, СТОВ ""Росія""",рибак станіслав михайлович,5c91bf7e-2a1f-4ea6-96cd-588544e6dddd,1,"NISSAN X-TRAIL, NISSAN X Trail 2.0, MITSUBISHI OUTLANDER 2.0",629738,0,111384,16089.9,1493550
" депутат сільської ради, КЗ ""Бережинська загальноосвітня школа І-ІІІ ступенів""",семенчик людмила леонідівна,d13c8bce-1238-49d0-bc1d-740f6162de1b,1,0,104898,0,1300,16073.5,0
" депутат Городоцької міської ради, Городок",желих володимир михайлович,0ed5c4a3-6d4a-4081-87aa-d3767c52a1a8,1,"Вольксваген Транспортер, Форд  Транзит",1192400,80000,0,16010.4,1036000
" Депутат, Новомиргородська районна рада",трохименко іван дмитрович,b7f84ebe-6775-4775-bd5b-044c1499980c,1,Hyundai Getz,544932,0,655800,15925.66,0
" депутат, Пурпурівська сільська рада",трохименко тетяна миколаївна,bd380136-40a6-41cc-bff0-4a2fd3954264,1,Hyundai Getz,544932,0,655800,15925.66,0
" депутат Грушовецької сільської ради Кельменецького району Чернівецької області, Приватний підприємець, депутат Грушовецької сільської ради Кельменецького району Чернівецької області",маланчук дмитро васильович,6f8c6bc8-cde6-4b01-b2ce-fa420ff29c47,1,0,129295,0,6960,15840,0
" Приймальник замовлень, депутат Рудненської селищної ради, Приймальник замовлень в ТзОВ ""Транс-Сервіс -1"", депутат Рудненської селищної ради",балич ігор ігорович,ef8d166d-f3fc-4b4b-9ef0-9b66bafb3aa2,1,"ваз 211440, DAEWOO LANOS, opel vectra",139137,75000,0,15741,0
" депутат Рудівської сільської ради Сватівського района Луганської області, безробітня",острікова марина олексіївна,fe137738-c0b3-4a23-881c-43e5ddf4dd2a,1,ВАЗ 21013,103430,0,175163,15694.2,0
" депутат, депутат Байраківськоі сільськоі ради",кереушу ніна аурелівна,28758e8f-e5f2-4c69-85a9-17b2b6e4b045,1,"Т-25а 25а, МТЗ 52",85309,0,5824,15666,0
" директор, депутат, ТОВ ""Агровіль"", Васильківська районна рада",іщенко василь володимирович,6a9db109-3cd1-4601-9aee-99403b4ddb96,1,"TOYOTA LAND CRUISER 200, МТЗ-80 Трактор колісний, ЮМЗ-6 Трактор колісний, Т-150К Трактор колісний, Камаз 55111, ХАЗ 3230-02, ХТЗ-17021 Трактор колісний",38987,0,229024,15640.2,348000
" депутат Морозовичівської сільської ради, безробітна",охрим ірина миколаївна,66ffc8b7-f41c-4158-a8a1-5c04453998e1,1,0,83784,0,74410,15608.9,0
" депутат сільської ради, руднянська сільська рада",цюпак сергій анатолійович,e3dfdeef-5453-42ff-b5f8-db6b51c238c3,1,м-2140,99219,0,2100,15600,0
" сантехнік, депутат сільської ради, лікарня швидкої медичної допомоги Фастівська,2",біляр самійло миколайович,19a22cf8-8e46-40d9-892c-23863a1f522a,1,0,84165,0,23500,15592,0
" Депутат, Болградська районна рада Одеської області",пінті марія дмитрівна,0de29834-61f2-486c-949b-510552934aa3,1,0,216034,0,23418,15555,0
" Начальник відділу кадрів ,депутат Раківчицької сільської ради, Коломийська ЦРЛ",рогович олександра степанівна,4aba435c-0872-4f2c-9e6d-74b0574372c4,1,Volkswagen T4,82266,0,7516,15551,0
" Депутат селищноі ради, Авангардівська селищна рада Овідіопольського району Одеської області",берник ігор григорович,8d2d8550-081f-4a66-9a76-08a027789a8e,1,"Рено Меган, Мерседес Віто, Шевролет Авео",1444388,1320452.054325,2338,15531.7,0
" Спеціаліст -землевпорядник , депутат Кричильської сільської ради, Кричильська сільська рада",стахнюк людмила опанасівна,a828863b-9ede-4e7a-9489-32ee4eec235f,1,0,55082,0,11700,15501.5,0
" сільський депутат, тимчасово не працюю",зазябла олександра іванівна,6acc19ec-f7b0-4be3-8035-be39bc5d3f6c,0,0,4300,0,0,15475.6,0
" завідувач ДНЗ, депутат Скородинської сільської ради, Дошкільний навчальний заклад с.Скородинці",кузьо світлана степанівна,17289a13-2fb6-4bae-a71a-edca6e1d8e57,3,SPARK SP150S,99290,0,42656,15422,22100
" керівник, Фермерське господарство ""ТЕХ-АГРОСВІТ"". Депутат Бериславської районної ради",глинянський ярослав іванович,e5fa5566-ea0c-469d-b8e5-2b11bb465e28,1,0,297856,0,100964,15254.4,0
" Народний депутат України, Верховна Рада України",ничипоренко валентин миколайович,436eab5c-1756-4b52-bf68-d4aad8ecf526,2,"Crownline Crownline 275 CCR, Morgan Aero8, Honda CR-V, Land rover Range Rover, UMS BOAT",6305728,15921706.271484,218270,15214.1,0
" депутат, Куликівська Селищна рада",дмитрович олександра григорівна,63a97fe9-98a9-43ce-b87e-1f086b024888,1,0,168397,0,0,15203.6,0
" депутат сільської ради, Дібрівська сільська рада Монастирищенського району Черкаської області",хомич анатолій миколайович,046f77c8-b33c-4a22-af8d-cdfdd0f379cd,1,"ПГМФ 8302, OPEL VEKTRA",75142,0,73168,15192.9,55000
" Депутат Вінницької обласної Ради 7 скликання (секретар постійної комісії обласної ради з питань законності, боротьби з корупцією, люстрацією, регламенту та депутатської діяльності), Вінницька обласна рада",вацак геннадій анатолійович,9b9885cf-37e0-4978-ac59-8e389ac3739f,1,"JAGUAR F-TYPE, MASERATI QUATTROPORTE, FIAT 230l, MERCEDES-BENZ SPRINTER 515 CDI, MERCEDEZ-BENZ 515 CDI SPRINTER, MERCEDEZ-BENZ 516 CDI SPRINTER, MERCEDEZ-BENZ 515 CDI SPRINTER, MERCEDES-BENZ SPRINTER 313 CDI, MERCEDES-BENZ SPRINTER 313 CDI, MASERATI GRANTURISMO, MERCEDEZ-BENZ VITO 113 CDI",5369317,1800000,71458,15178.02,6011417
" Вчитель української мови та літератури (Депутат Верхньомайданської сільської ради Надвірнянського району Івано-Франківської області), Верхньомайданська ЗОШ І-ІІ ступенів Надвірнянського району Івано-Франківської області (Верхньомайданська сільська рада Надвірнянського району Івано-Франківської області)",костюк галина дмитрівна,172e67e9-0c17-46be-a334-cd171ccaa9e7,1,0,123457,0,3914,15173,0
" Депутат сільської ради, Безробітня",довга марія михайлівна,8845b82d-ce56-44f6-ad71-44747618a14b,1,"ЗИЛ 131, ЗИЛ 431410, ПГМФ 8302, ВАЗ 2101",25200,0,10000,15169.6,0
" Депутат Довжицької сільської ради, водій, Довжицька сільська рада, ТОВ ""АВТО-ОВІ""",барбін юрій васильович,74abfc89-1e4f-4bce-adc8-475fb97c5a57,1,"ВАЗ 2115, ВАЗ 21140",130311,0,52133,15163.5,0
" Депутата сільської ради, Депутут Верхньопетровецької сільської ради",кішка володимир сергійович,3c7f9016-c5b5-4bf4-894e-9bc32a51e46c,1,ТОYОТА НІАСЕ V-2446,112815,0,19400,15000,0
" Головний спеціаліст, депутат Галицької міської ради, Відділ забезпечення діяльності керівництва апарату Івано-Франківської обласної державна адміністрація, Галицька міська рада",грибик тетяна миронівна,b2024371-8c0c-4d45-b346-e4a4f359fb78,1,0,92212,0,0,14928.28,0
" депутат Калитинської сільської ради, Відділ освіти Шаргородської РДА",димчук-коновальчук наталія юріївна,6c278b89-ed82-4c0e-8f4f-8015ad533abf,1,GHERY FMULET,96669,0,12800,14879.8,0
" депутат, Первомайська районна рада",грущенко володимир петрович,98d18fd7-9eed-4058-89d1-1a931ff0c913,1,"ТРАКТОР Т-150К, причіп ACKERMAN FRUEHAUF PAF 18/7.4E, MAN TGA 26.440, причіп бортовий ГКБ 8350, TOYOTA LAND CKUISER PRADO, ГАЗ 330202414, причіп KRONE AZW 18, MAN TGA 03",2004609,0,5270596,14852,1279000
" директор школи (депутат Прилбичівської сільської ради), Прилбичівська Сільська рада",карпа михайло петрович,d3e5ea1d-3a71-48a4-a2ec-823e04c55e2d,1,0,265332,0,1072,14796,0
" діловод,депутат Івановецької сільської ради, Івановецька сільська рада",москалюк марина дмитрівна,9360cd0d-f0ab-4e09-b4dc-666ef76d21ff,1,"ВАЗ 2102, Тулица",175648,0,16800,14698,0
" СЕЛИЩНИЙ ДЕПУТАТ, ВЕЛИКОЛЮБІНСЬКА СЕЛИЩНА РАДА","баб'як йосип петрович",5b18259a-142d-4eba-b78c-ad4999d4a0db,1,ВАЗ 21150,50776,0,1920,14627.6,0
" Депутат ДЕМИДІВСЬКОЇ ОТГ, Голова ФГ ""Щедрість"",депутат районої ради",засюк олександр петрович,0d2e987d-3867-435f-9afb-d1de30bef4ff,1,"volkswagen touareg, МТЗ 82, GRET WALL HOVER, JOHN DEERE 1075 1075",63599,0,6560,14612,165000
" депутат сільської ради, безробітна",грушка надія василівна,b9d8181e-eced-447b-8eb9-1db2ec09eef5,1,ВАЗ 2106,30960,0,39100,14500,0
" Депутат Романівської сільської ради, Романівська сільська рада",оборський олександр анатолійович,7adb540d-2122-41f9-a038-ff7da272cf40,1,0,44264,0,2941,14452.7,0
" ДЕПУТАТ, ФЕРМЕРСЬКЕ ГОСПОДАРСТВО ОБРІЙ",мазуренко віктор вікторович,2c4b5d92-a3a3-4a99-9ee9-446129c0a634,0,"opel vivaro, HYUNDAI TUCSON 2.0 D 5 MT4, OPEL VIVARO",649267,0,909387,14417.5,258800
" депутат, Софіївська сільська рада",гринник євгеній федорович,06bdbb45-df33-433c-b565-185a3fbb3995,1,"Wolkswagen caddy, BMW 325TD",10000,0,8860,14373.1,0
