name,id,office,position,professionGroup,uah,usd,gbp,eur,total,region
Андросенко Віталій Дмитрович,97bee2f3-f09a-4a60-867c-ba587abaf444,ГУ ДФС у Миколаївській області,головний державний ревізор-інспектор відділу перевірок платників основних галузей економіки управління податкового та митного аудиту,inspector,160000,15000,,,21153,Миколаїв
Андросович Любов Григорівна,3e068b1d-fe4f-459f-9c39-883eaff859eb,Слідче управління фінансових розслідувань ДПІ у Печерському районі Головного управління ДФС у м.Києві,Начальник слідчого управління фінансових розслідувань ДПІ у Печерському районі Головного управління ДФС у м.Києві,slidchi,80000,142000,,,145076,
Антіпов Євген Вікторович,a483d1d6-7b4c-41eb-81eb-5a9e35ab8b90,Броварська ОДПІ ГУ ДФС у Київській області,начальник слідчого відділу фінансових розслідувань,slidchi,4090000,,,,157307,Київ
Антіпова Олена Валентинівна,44cca0e3-8a4a-44c0-a87d-fd3b8a5e69a6,Державна податкова інспекція у Дарницькому районі Головного управління ДФС у місті Києві,перший заступник начальника,inspector,80000,20600,,,23676,
Арапов Олександр Олександрович,d07c5066-fdf7-46dc-a06c-fa285d26dd6a,Головне управління Національної поліції в Житомирській області,Заступник начальника слідчого управління,slidchi,,35000,,,35000,Житомир
Арсірій Руслан Олександрович,f203d6b0-891e-419f-9943-0ac780dbb92f,Окружний адміністративний суд міста Києва,суддя,suddia,26995,150000,,,151038,
Артеменко Юрій Анатолійович,e8fd7df4-0b37-426b-bd44-171cf469dab8,Національна рада України з питань телебачення і радіомовлення,Голова,golova,105503,160811,,,164868,
Артеменко Юрій Анатолійович,2b2e4ed5-5878-4afe-b631-9ba532c3b739,Національна рада України з питань телебачення і радіомовлення,Голова Національної ради,golova,105503,160811,,,164868,
Атаманюк Інна Олександрівна,78008d7e-90e3-4a9d-ab2b-819abd3a43fe,Генеральна прокуратура України,прокурор відділу забезпечення представництва у вищих судах управління представництва інтересів громадян або держави в суді Департаменту підтримання державного обвинувачення та представництва інтересів громадянина або держави в судах,prokuratura,,91634,,,91634,
Атрошенко Владислав Анатолійович,fb754729-f8e5-427d-b0e1-1c440f455be1,Чернігівська міська рада,міський голова,golova,19779230,1527576,,,2288315,
Ахіджанов Баграт Рафікович,1f9b78ca-77e1-4ebe-99fb-e28174c72840,Міністерство аграрної політики та продовольства України,Директор департаменту фінансово-кредитної політики,ministerstvo,3335458,68750,,24850,224123,
Бабій Юрій Юрійович,75ec2340-3717-4b25-b9e4-cdbadbe29adb,Верховна Рада України,Народний депутат України,deputat,,445000,,,445000,
Бажанська Альона Миколаївна,2dd633cd-e267-4975-9715-54425a35d2b6,Слідче управління ГУ Національної поліції України в Чернівецькій області,слідчий,slidchi,,28200,,,28200,Чернівці
Байчас Владислав Михайлович,13f4651b-c652-4b8d-a7ae-50a21052ddb1,Бориспільська районна рада,Голова Бориспільської районної ради,golova,1043027,197000,,20800,259788,
Бакулін Євген Миколайович,385984a5-85f3-4203-a5c9-60ddec3eff2a,Верховна Рада України,Народний депутат України,deputat,1991202,729676,,932916,1823139,
Балицький Євген Віталійович,412a4ced-55d4-4af0-996d-19a33288763a,Верховна Рада України,Народний депутат України,deputat,50070000,6000,,3683,1935783,
Балога Андрій Вікторович,0c47602c-e9ce-45af-a72e-63dc911d1244,Мукачівська міська рада,Мукачівський міський голова,golova,11199369,,,805000,1308194,
Балога Віктор Іванович,ac013542-609c-4d1f-b061-21cdbbcd15a1,Верховна Рада України,народний депутат України,deputat,542611,110000,,780000,981069,
Балога Іван Іванович,689168b7-8952-4839-a9a4-da61a00d8c6f,Верховна Рада України,Народний депутат України,deputat,8456451,1077000,,470613,1915216,
Балога Павло Іванович,5bb19e84-3031-4ae5-9221-c3ec6760dac4,Верховна Рада України,народний депутат України,deputat,3571547,250000,,1312995,1818531,
Балуєв Станіслав Сергійович,c6092675-6419-4ff6-99f6-8485fb392747,Закарпатська митниця ДФС,Начальник управління адміністрування митних платежів та митно-тарифного регулювання,ministerstvo,,90000,,,90000,Закарпаття
Бандуров Володимир Володимирович,7dac7656-707f-46b1-b8dc-ecb127c5ae7f,Верховна рада України,народний депутат,deputat,30704483,1300000,,200000,2698941,
Барвіненко Віталій Дмитрович,e9238896-47d0-4fea-8b6d-2313ccb3b444,Верховна Рада України,Народний депутат України,deputat,5711000,710000,,170000,1114953,
Басай Олег Вікторович,15556ba5-f231-4083-8e7e-46bfdc698436,Київський окружний адміністративний суд,Голова суду,suddia,29568287,,,,1137241,Київ
Басараб Сергій Михайлович,321df1e9-5ff0-4575-8049-b0de9114f7cc,Івано-Франківська обласна рада,Заступник голови Івано-Франківської обласної ради,golova,1425000,490000,,20000,566607,Івано-Франківськ
Басараба Оксана Анатоліївна,61b94808-ebe2-4a50-aa0b-5705a9311c17,Державна фінансова інспекція в Рівненській області ,начальник відділу інспектування у сфері матеріального виробництва та фінансових послуг,inspector,550502,,,,21173,Рівне
Башкіров Олексій Юрійович,86600c43-5c04-44d1-a4de-9f97bab02f0f,Департамент Державної архітектурно-будівельної інспекції у Київській області,Начальник відділу по роботі з дозвільними документами,inspector,640000,10000,,,34615,Київ
Бедриківський Володимир Володимирович,32bd8351-2c46-4630-8c05-bd837bc049bd,Генеральна прокуратура України,начальник Департаменту нагляду за додержанням законів у кримінальному провадженні та координації правоохоронної діяльності,prokuratura,247875,101521,,8551,120375,
Безбородов Євген Миколайович,b8358666-a78b-4e5d-8899-4fefb5c4a774,Прокуратура Харківської області,Заступник прокурора Харківської області,prokuratura,,95000,,,95000,Харків
Безушко Андрій Петрович,d888c52c-b512-4c7b-8b99-b3e988202d59,Слідче управління фінансових розслідувань Офісу великих платників податків Державної фіскальної служби ,старший слідчий з особливо важливих справ першого відділу розслідування кримінальних проваджень,slidchi,790000,5000,,,35384,
Белоконна Інна Вікторівна,265d4277-7197-4d50-b9ee-9522ce0aaab4,Оболонський районний суд міста Києва,суддя,suddia,,205000,,,205000,
Березкін Станіслав Семенович,d5103bcd-ac20-40a5-acf1-586c58717990,Верховна Рада України,Народний депутат України,deputat,3637322,480000,,261548,904984,
Березовська Людмила Ігорівна,9e4705c5-cc47-4a87-bade-28dda22b0b01,прокуратура Івано-Франківської області,"прокурор відділу нагляду за додержанням законів при провадженні оперативно-розшукової діяльності територіальними органами поліції, органами СБУ та державної прикордонної служби, процесуального керівництва при провадженні досудового розслідування органами СБУ управління нагляду укримінальному провадженні прокуратури Івано-Франківської області",prokuratura,165000,79700,,6500,93131,Івано-Франківськ
Бернашевський Олександр Вячеславович,d8b20072-6ffb-454f-bcf2-d7b2680c9e61,Дунаєвецька районна державна адміністрація Хмельницької області,голова Дунаєвецької районної державної адміністрації Хмельницької області,golova,929327,62000,,56000,158783,Хмельницький
Бех Олег Володимирович,6cfe716f-5b33-48fe-86f7-df83cf635177,Головне управління Національної поліції в Полтавській области,Начальник Головного управління Національної поліції в Полтавській области,slidchi,460000,45000,,,62692,Полтава
БЄЛЯК ВІКТОРІЯ ОЛЕКСАНДРІВНА,45c7e0a9-1ddc-4da8-b842-d5df56da0931,Сєвєродонецький відділ поліції Управління національної поліції України в Луганській області ,слідчий,slidchi,,120000,,,120000,Донецьк
Биков Дмитро Геннадійович,647b93b4-462f-4531-b9eb-f327a7e1e5d1,Горішньоплавнівська міська рада Полтавської області,Міський голова,golova,,252583,,,252583,Полтава
Бичков Сергій Іванович,b80395b9-9112-48b9-af3b-3eebfccf706f,Міністерство соціальної політики України,Директор департаменту ,ministerstvo,7601043,,,,292347,
Бичков Сергій Миколайович,563f08d5-eecf-4aa7-a517-1fd2fdce4d8e,Очаківська міська рада,Міський голова,golova,,195886,,,195886,
Біленький Олександр Юрійович,413cb6a1-c4ff-4273-984f-6a2ad4142fed,Полтавська обласна рада,Голова обласної ради,golova,650000,576000,,,601000,Полтава
Білова Ольга Валентинівна,4d39c4da-c121-44cd-a8ec-3d0f37296a7e,Харківський окружний адміністративний суд,суддя,suddia,399856,492096,,,507475,Харків
Біловар Руслан Йосипович,9a502b8a-a85a-4747-a4e8-a68a45dd677c,Генеральна прокуратура України,прокурор відділу запобігання правопорушенням у територіальних прокуратурах Управління внутрішньої безпеки та захисту працівників прокуратури Генеральної прокуратури України (з місцем дислокації у прокуратурі Закарпатсьокї області),prokuratura,1321000,180000,,73000,310377,Закарпаття
Білозір Оксана Володимирівна,fbf93a31-a240-4bc0-9b87-81f679a5f0f3,Верховна Рада України ,народний депутат України,deputat,11894144,60977,,6177,525177,
БІЛОУС ЄВГЕН МИХАЙЛОВИЧ,608bb77e-ab0f-4d7d-b593-6971b604bacf,Державна екологічна інспекція у Київській області,Начальник Державної екологічної інспекції у Київській області,inspector,1000000,,,,38461,Київ
БІЛОУС ІГОР ОЛЕГОВИЧ,2991ca6c-2127-48a7-ba3a-8dfa70234352,Фонд державного майна України,Голова Фонду державного майна України,,1336435,971046,,158783,1195520,
Білоусова Ярослава Олексіївна,f91607db-9fce-4482-95bd-6a224e42f061,Харківський апеляційний господарський суд,суддя,suddia,164446,124000,,,130324,Харків
Бірюков Руслан Миколайович,d65840df-e76f-469f-ab9e-fa0283f7d87a,Головне управління національної поліції в Полтавській області,заступник начальника Головного управління національної поліції в Полтавській області - начальник кримінальної поліції,slidchi,520000,12000,,5700,38213,Полтава
Бобов Геннадій Борисович,e63bae21-2839-4a0b-8e0b-07c3d10156a9,Верховна Рада України,Народний депутат України,deputat,100000000,4300000,,,8146153,
Богомолець Ольга Вадимівна,e61660db-1bad-4f45-8f9b-272934de1eb7,Верховна Рада України,"народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я",deputat,195540,623422,,364737,1028506,
Богуслаєв Вячеслав Олександрович,a13c001e-0262-4525-8911-6993fd801511,Верховна Рада України,"Народний депутат України, Член Комітету Верховної Ради України з питань національної безпеки і оборони",deputat,7696549,168416,,201423,683988,
Бойко Роман Володимирович,0439bc0c-858d-4230-9c4a-d7ba61b177bf,Господарський суд міста Києва ,суддя,suddia,6362159,114740,,,359438,
Бойко Юрій Анатолійович,de9b7670-8ebc-4c19-bb3b-b1f76948ea08,Верховна Рада України,Народний депутат України,deputat,32441153,56385,,15000,1320471,
Бойченко Вадим Сергійович,e5438f00-2f0c-44ec-8038-50144d42e174,Маріупольська міська рада,Міський голова м. Маріуполь,golova,777015,507004,,3629,540844,
Бондар Віктор Васильович,80dbb475-16f1-4bed-aef1-b4560dcd77f5,Верховна Рада України,Народний депутат України,deputat,2941600,1542000,,278000,1958158,
Бондар Наталія Володимирівна,291f2611-9118-48ac-90b1-e61c306a5c17,Голосіївська районна в місті Києві Державна адміністрація,Голова Голосіївської районної в місті Києві Державної адміністрації,golova,1640000,240000,,,303076,
Бондаренко Ганна Павлівна,1848b0a4-07f1-449f-9d5b-8e34699fd045,Господарський суд міста Києва,суддя,suddia,,510000,,,510000,
Бондарчук Геннадій Вадимович,2ad3a383-b3ac-4f6d-abaf-fbf20c2f9463,Управління охорони здоров'я Харківської обласної державної адміністрації,заступник начальника управління,,19992077,,,,768926,Харків
Бондарчук-Ладна Олена Василівна,88e2ff5a-d441-4d76-88a1-bb67a0989fdd,Вищий господарський суд України,начальник відділу,suddia,,320239,,,320239,
Борисенко Володимир Миколайович,bf1aaf30-d280-4f8f-8ce5-29a03e5b85c9,ДФС України,начальник четвертого відділу управління розслідування кримінальних проваджень Головного слідчого управління фінансових розслідувань ДФС України,slidchi,745000,,,,28653,
Борисов Сергій Семенович,db1cac3a-4218-44a7-8e6e-53c26538af48,Генеральна прокуратура України,Прокурор відділу,prokuratura,6000133,,,,230774,
Бородін Михайло Михайлович,e053ee99-e4e0-446a-8c4e-4798bc603372,Апеляційний суд Харківської області,суддя,suddia,,358851,,,358851,Харків
Бочковська Ольга Іванівна,5c21c5a4-9f01-48dd-9fef-e86713ef3a44,"Головне управління ДФС у м. Києві, управління аудиту окремих обєктів та категорій платників (станом на 31.12.2015 - управління спеціального аудиту)",заступник начальника управління-начальник відділу (станом на 31.12.2015 - головний державний ревізор-інспектор),inspector,41622,19800,,,21400,
Бредюк Олег Миколайович,b8eb5127-f594-49a7-b09d-01383e2faeb6,слідчий відділ Чернігівського ВП ГУНП в Чернігівській області ,заступник начальника слідчого відділу Чернігівського ВП ГУНП в Чернігівській обаласті ,slidchi,650000,2000,,,27000,
Брисюк Ярослав Володимирович,3f0e9e67-de23-4a8a-80dc-f34af5f700e4,Міністерство закордонних справ України,Заступник Директора Департаменту - начальник відділу,ministerstvo,42849,140000,,,141648,
Брицька Леся Євгеніївна,db4425df-4434-410f-b1fb-f87d6960529d,ДПІ у Дарницькому районі ГУ ДФС у м.Києві,Начальник відділу адміністрування майнових податків і зборів з фізичних осіб управління податків ізборів з фізичних осіб,ministerstvo,1329306,253000,,,304127,
Бручиков В’ячеслав Вікторович,7dd7925a-5837-447c-8d6c-f7a849d7314a,Державна екологічна інспекція у Харківській області,перший заступник начальника,inspector,150000,43000,,,48769,Харків
Бублик Юрій Васильович,ac0380fd-5cfa-4cd4-aed7-bb8d8ba934fa,Верховна Рада України,Народний депутат України,deputat,3000000,300000,,,415384,
Будник Ігор Михайлович,e7ab564d-fb1f-4383-a906-6571ddb52f9b,Національний банк України,директор Департаменту управління ризиками,,22476,458823,,,459687,
Буряк Володимир Вікторович,53dbc134-0bb1-47bc-a4d7-69ec4fbe5a4d,Виконавчий комітет Запорізької міської ради,Міський голова,golova,6845000,12000,,,275269,Запоріжжя
Буславець Ольга Анатоліївна,330aa0cb-cef9-49dc-b151-91c656345b30,Міністерство енергетики та вугільної промисловості,Директор департаменту,ministerstvo,1500000,40000,,,97692,
Бутенко Володимир Іванович,bb602923-859a-4c46-84b7-c197b142aedf,Вищий адміністративний суд України,Суддя,suddia,,200000,,,200000,
Бухарєв Владислав Вікторович,6147a716-f390-4f49-9812-556933c4b855,Верховна Рада України,Народний депутат України,deputat,297000,461000,,39500,515478,
Буць Олег Омелянович,9b6af5f4-0181-4301-9c32-4a604df5dd5d,Головне управління ДФС у Тернопільській області,начальник слідчого управління фінансових розслідувань,slidchi,85868,46000,,,49302,Тернопіль
Вавринчук Сергій Михайлович,b7adbc36-8276-42fe-8fb6-1421ed63a326,Хмельницька обласна державна адміністрація,деректор департаменту ,,2050000,278000,,60000,422246,Хмельницький
Васюта Роман Володимирович,b3eb1d1d-84f5-486f-8684-d4822132d769,Дарницьке УП ГУНП в м.Києві,начальник відділення розслідвування злочинів у сфері службової діяльності слідчого відділу,slidchi,,32000,,,32000,
Ватутін Олександр Михайлович,8ed31bdf-090c-43c9-bccd-5efe7f4669fe,прокуратура міста Києва,прокурор відділу,prokuratura,110000,107000,,,111230,
Ващилін Руслан Олегович,9f795649-033b-43df-b87f-dffd53699b34,Закарпатський окружний адміністративний суд,суддя,suddia,,160000,,,160000,Закарпаття
Великохатько Дмитро Віталійович,7f25bec3-6226-4436-b194-312248ea0dbb,Національне антикорупційне бюро України,Детектив Національного бюро Четвертого відділу детективів Третього підрозділу детективів Головного підрозділу детективів,slidchi,,28500,,5500,34495,
Велікін Олег Маркович,1e9239f3-6f77-43c6-b4d1-31a6c5f692a4,Верховна Рада України,Народний депутат України,deputat,943992,600000,,270000,930607,
Велько Тетяна Миколаївна,b1f7b852-e532-433e-ab97-9dbd6d015de4,Державна фінансова інспекція в Черкаській області,Начальник інспекції,inspector,282216,90000,,,100854,Черкаси
Верещінська Ірина Вікторівна,3adeee08-2734-4fde-a051-2d8a32cb8158,суддя,суддя Солом'янського районного суду м. Києва,suddia,3376187,49996,,18000,199469,
Виноградова Оксана Іванівна,6893e5ab-937b-44e4-b904-2a5abbd0cc85,Київський окружний адміністративний суд ,суддя,suddia,289639,242888,,,254027,Київ
Вілкул Олександр Юрійович,c4f8b2ca-a266-47b8-99a9-71c4e38d9a02,Верховна Рада України,Народний депутат України,deputat,6166308,4912444,,2130748,7472125,
Вілкул Юрій Григорович,1a66c7b6-60c2-4de0-ac52-9da30a9db77b,Виконавчий комітет Криворізької міської ради,Міський голова,golova,3482013,232166,,136269,514622,
Вітвіцький Роман Васильович,36dc579a-ce6d-442d-873e-f8c3eff542a3,Державна фінансова інспекція у Львівській області,начальник відділу,inspector,78233,32300,,,35308,Львів
Віхрова Вікторія Станіславівна,79908066-b206-4d80-8714-e9e2da091d72,Дніпропетровський окружний адміністративний суд,суддя,suddia,3312000,5000,,,132384,Дніпропетровськ
ВЛАДОВ ОЛЕКСАНДР ПЕТРОВИЧ,ad0ae3c4-3fe2-486f-b684-939d4a970d6f,Вознесенський відділ поліції ГУНП в Миколаївській області,старший слідчий,slidchi,770000,,,,29615,Миколаїв
Власенко Микола Григорович,40ad61cf-faa1-4464-8372-dea233811df4,Державна екологічна інспекція у Кіровоградській області,начальнік,inspector,2332453,,,,89709,Кіровоград
Власенко Сергій Володимирович,fb6c060a-4dfd-4181-a100-a12fcc3f2cf6,Верховна Рада України,Народний депутат України,deputat,1345000,250000,,275000,601480,
Вовк Дмитро Володимирович,191c3f82-ffe3-4588-9623-727dc18b363f,"Національна комісія, що здійснює державне регулювання у сферах енергетики та комунальних послуг",Голова Комісії,,,390000,,60000,455400,
Войціцька Вікторія Михайлівна,a11af86d-2670-4494-9707-9d7b0800bd82,Верховна Рада України,народний депутат,deputat,123516,618294,,,623044,
Волік Леонід Григорович,e95da2b5-2786-4113-b2af-9af5f045cf5e,Військова прокуратура Центрального регіону України,Перший заступник військового прокурора Центрального регіону України,prokuratura,157012,135077,,23000,166185,
Волков Євген Олександрович,646aec9f-c1d4-4ee3-b2f5-7c58006cd953,Міністерство економічного розвитку і торгівлі України,"заступник начальника відділу моніторингу процедур закупівель ""відкриті торги"", ""запит цінових пропозицій"" та ""попередня кваліфікація учасника"" департаменту державних закупівель та державного замовлення",ministerstvo,60000,120000,,15000,138657,
Воробйов Олександр Степанович,af50e21f-2167-4f72-bd87-0022bddc316e,Генічеська районна державна адміністрація,Голова Генічеської районної державної адміністрації,golova,,475000,,117000,602530,
Воропаєв Юрій Миколайович,dd53bf3b-7767-4074-8b7d-cebc39a94524,Верховна Рада України,народний депутат України,deputat,29330805,325241,,1707,1455209,
Вус Світлана Михайлівна,f5545259-432c-4385-82ea-92097971954f,Верховний Суд України,Суддя ,suddia,2687665,42000,,,145371,
Галайба Олександра Вікторівна,68ef241d-7a58-4f5c-af40-2388661271b0,Прокуратура Київської області,Прокурор відділу підтримання державного обвинувачення в суді ,prokuratura,,630000,,,630000,Київ
Галищук Наталія Миколаївна,24382f28-5c58-40d2-b146-d6c7b85ff85f,Державна інспекція сільського господарства в Хмельницькій області,заступник начальника відділу контролю насінництва та охорони прав на сорти рослин,inspector,570000,,,,21923,Хмельницький
Галуган Володимир Віталійович,0166e4f6-a774-4f50-8dc6-9f0ef9c07dfc,Державна служба України з безпеки на транспорті,Начальник Управління Укртрансбезпеки у Луганській області,,5200000,230000,,27000,459430,Луганськ
ГАЛУШКО ВОЛОДИМИР ВОЛОДИМИРОВИЧ,e9ecced3-9353-40e1-a12d-f276a9b02bd6,Індустріальне відділення поліції Дніпропетровського відділу поліції Головного управління Національної поліції в Дніпропетровській області,начальник сектору патрульної поліції,slidchi,5500,68600,,,68811,Дніпропетровськ
Гарник Людмила Леонідівна,fe56a80b-cbab-4b8b-96ea-abb5639e4d50,Київський апеляційний господарський суд,суддя,suddia,,,,222831,242885,Київ
Гарник Олег Андрійович,c3c90c0c-f46d-491e-9287-184a42142071,Національне антикорупційне бюро України,Старший детектив - керівник Другого відділу детективів Першого підрозділу детективів Головного підрозділу детективів,slidchi,37245,59543,,,60975,
ГЕЛЕШ АНДРІЙ ІГОРОВИЧ,49fd85e5-c2c6-4949-817d-bda337c95b40,слідче управління головного управління національної поліції у львівській області,старший слідчий в особливо важливих справах,slidchi,,30500,,,30500,Львів
ГЕНАЛЬ ІРИНА ВОЛОДИМИРІВНА,879fccd4-34b5-41ba-9fcc-c543f7576afa,Регіональний сервісний центр МВС у Львівській області,завідувач сектору моніторингу та контролю за діяльністю сервісних центрів,,300000,510000,,,521538,Львів
Георгіян Артем Павлович,8ae8622d-8797-4b41-ab00-ad51f0773152,Державна екологічна інспекція у Харківській області,начальник,inspector,1600000,730000,,15000,807888,Харків
Герасим'юк Ольга Володимирівна,92ebc561-7074-4a8c-b6e9-14cd580a9090,Національна рада України з питань телебачення та радіомовлення,Перший заступник голови,golova,80193,130000,,,133084,
Герасименко Олександр Васильович,2ad3900e-16ef-44db-abb1-46a096b97381,Держфінінспекція в м. Києві,Начальник відділу,inspector,,142000,,,142000,
Герега Олександр Володимирович,24bf01c7-8230-4b95-be52-fdcfa72f9416,Верховна Рада України,Народний депутат Верховної Ради України,deputat,30193012,2100000,,1700000,5114269,
Герц Віталій Іванович,bb459f60-75cd-4e93-a67b-01ce94e15cc8,Фонд державного майна,директор Департаменту ,,5996450,366700,,21800,621094,
Герц Віталій Іванович,5edbedfd-6827-491d-a00e-697edff6f5ed,Фонд державного майна,директор Департаменту приватизації,,5996450,366700,,21800,621094,
Гецадзе Гія Гізойович,9e1c34e6-8500-447f-8f80-6bf2e90cb121,Міністерство юстиції України,Заступник міністра юстиції,ministerstvo,42333,108858,,,110486,
Гєллєр Євгеній Борисович,58d5506b-6484-48f4-bfa7-a4e458d61414,Верховна Рада України,"народний депутат України, член Комітету Верховної Ради України з питань бюджету",deputat,16448344,5405559,3700,380557,6457434,
Гінак Алла Федорівна,0e486467-a300-4d43-a291-526d53c05f66,Білгород-Дністровська міська рада Одеської області,Міський голова,golova,30168655,100000,,,1260332,Одеса
Гіренко Олександр Тимофійович,c76b5054-2626-48bb-bb40-70e99f17e724,Міністерство закордонних справ України,заступник Директора-начальник відділу ,ministerstvo,14786211,1687775,,,2256475,
Гірняк Володимир Олегович,e0d4ba68-d8eb-4a34-9523-528beb19857a,Львівська обласна рада,Заступник голови Львівської обласної ради,golova,1074418,75000,,52000,173003,Львів
Гладій Степан Васильович,c7cf9149-dc43-4fbd-9083-6ba99cbbff22,Апеляційний суд міста Києва,суддя,suddia,,140000,,,140000,
Гладкіх Олег Васильович,42b22d70-9f63-4c25-929f-3b3705f70b18,прокуратура Луганської області,заступник прокурора Луганської області,prokuratura,1070636,500000,,,541178,Луганськ
Гладковський Олег Володимирович,876fe68d-3804-4197-addc-5c5f85f0481f,РАДА НАЦІОНАЛЬНОЇ БЕЗПЕКИ І ОБОРОНИ УКРАЇНИ,Перший заступник Секретаря Ради,,41000868,2415198,,154503,4160562,
Говорун Олександр Володимирович,a5c9118c-1e95-492a-b243-f7da7f93bf4e,господарський суд Донецької області,суддя,suddia,779915,105000,,15000,151346,Донецьк
Голенко Євгеній Анатолійович,a4f3ac8e-12c4-4b49-8c74-6183049f1a19,Державна податкова інспекція у м. Полтаві Головного управління ДФС України у Полтавській області,Заступник начальника інспекції,inspector,,33600,,,33600,Полтава
Голімбієвський Олег Дмитрович,00a20e2c-957f-42a6-a266-d1cb06b64b68,Голованівська районна державна адміністрація,Голова Голованівської районної державної адміністрації,golova,14750000,,,,567307,
Головешко Петро Анатолійович,9c908b5f-ae9f-4fff-b982-412c09749e2b,Міністерство закордонних справ України,Консул-Керівник консульства України в м.Дубай (ОАЕ),ministerstvo,,109740,,,109740,
Головко Валерій Анатолійович,1bab9cf3-bae4-49ad-a118-3e3324bbff03,Полтавська обласна державна адміністрація,Голова облдержадміністрації,golova,1462,970000,,,970056,Полтава
Голомша Мар'яна Миколаївна,6c6e36d5-f579-443a-8335-8039ebf62504,прокуратура міста Києва,начальник відділу,prokuratura,5000000,,,,192307,
Голуб Віталій Євгенович,2600d9b3-c4c4-4432-9abb-7e026b7fe97c,Київська місцева прокуратура №5 міста Києва,Перший заступник керівника,prokuratura,640338,128300,,22600,177562,Київ
Голубов Дмитро Іванович,a9b44413-69ac-4c40-ad1a-35278b69e61b,Верховна Рада України,Народний депутат України,deputat,76589110,500000,,,3445735,
Гома Олександр Анатолійович,0503ccd2-78b7-4cfb-a8db-4fb2a3c7e178,Державна фітосанітарна інспекція Хмельницької області,Начальник Державної фітосанітарної інспекції Хмельницької області,inspector,1396466,,,,53710,Хмельницький
ГОМА РОМАН АНАТОЛЬЕВИЧ,930bd7f1-bb2b-489f-bffc-e9bca3621991,Національна поліція України,заступник начальника управління міжнародного розшуку та супроводження розслідувань - начальник відділу супроводження розслідувань Робочого апарату Інтерполу Національної поліції України,slidchi,,5000,,20500,27345,
ГОМА РОМАН АНАТОЛЬЕВИЧ,9c1b7f34-e6df-4544-a0fc-5d818b41585f,Національна поліція України,Заступник начальника управління міжнародного розшуку та супроводження розслідувань - начальник відділу супроводження розслідувань Робочого апарату Укрбюро Інтерполу Національної поліції України,slidchi,,5000,,20500,27345,
Гонтарева Валерія Олексіївна,20184789-2a22-4de4-946e-556b9645f605,Національний банк України,Голова Національного Банку,,1161934,1831391,,,1876080,
ГОНЧАРОВ ВІТАЛІЙ ВАСИЛЬОВИЧ,a3dfe022-2e20-480c-a1e8-f1596ecbac50,Національна поліція України,Радник голови Національної поліції України,slidchi,79000,117000,,54500,179443,
ГОНЧАРУК АНДРІЙ ОЛЕКСАНДРОВИЧ,2bd42597-1470-455e-8769-fab2fe5163ea,Слідче управління головного управління національної поліції в Дніпропетровській області,старший слідчий,slidchi,262000,19000,,,29076,Дніпропетровськ
Гончарук Юрій Олексійович,ee56b074-bf1a-4ccb-bdfb-c3761112e38a,Міністерство закордонних справ України,Посол України в Республіці Македонія,ministerstvo,264161,130000,,,140160,
