name,office,position,professionGroup,uah,usd,gbp,eur,total,region
Антонюк Вадим Васильович,Прокуратура Волинської області,прокурор відділу процесуального керівництва у кримінальних провадженнях слідчих регіональної прокуратури,prokuratura,500000,,,12000,32310,Луцьк
Антонюк Олег Володимирович,Хмельницький міськрайонний суд Хмельницької області,суддя,suddia,,28000,,,28000,Хмельницький
Антонян Нвер Фашаєвич,Прокуратура Харківської області ,"заступник начальника управління - начальник відділу нагляду за додержанням законів спецпідрозділами та іншими ораганами, які ведуть боротьбу з організованою злочинністю, та процесуального керівництва ",prokuratura,108928,28400,,,32589,Харків
Анушкевич Володимир Ігорович,прокуратура Харківської області,заступник керівника Харківської місцевої прокуратури № 2 Харківської області,prokuratura,1250000,,,,48076,Харків
Анушкевич Олена Ігорівна,прокуратура Харківської області,"прокурор відділу представництва інтересів громадян та держави в судах управління представництва, захисту інтересів громадян та держави в суді прокуратури Харківської області ",prokuratura,1250000,,,,48076,Харків
Ар'єв Володимир Ігорович,Верховна Рада України,народний депутат України,deputat,3770200,75000,,2263,222474,
Арабей Тетяна Георгіївна,Донецький апеляційний адміністративний суд,Суддя,suddia,13441,50000,,3000,53786,Донецьк
Арапов Олександр Олександрович,Головне управління Національної поліції в Житомирській області,Заступник начальника слідчого управління,slidchi,,35000,,,35000,Житомир
Арешонков Володимир Юрійович,Верховна Рада України,Народний депутат України,deputat,480000,7000,,,25461,
Арсірій Руслан Олександрович,Окружний адміністративний суд міста Києва,суддя,suddia,26995,150000,,,151038,
Артеменко Андрій Вікторович,Верховна Рада України,народний депутат України,deputat,1862032,167458,,60000,304474,
Артеменко Юрій Анатолійович,Національна рада України з питань телебачення і радіомовлення,Голова,golova,105503,160811,,,164868,
Артеменко Юрій Анатолійович,Національна рада України з питань телебачення і радіомовлення,Голова Національної ради,golova,105503,160811,,,164868,
Артимович Василь Михайлович,Господарський суд Львівської області,Заступник голови суду,golova,41762,44991,,8,46605,Львів
Асташов Євгеній Володимирович,Генеральна прокуратура України,начальник другого слідчого відділу управління з розслідування особливо важливих справ Головного слідчого управління (на правах Департаменту),prokuratura,,31000,,,31000,
Атаєва Дженнет Керімівна,Генеральна прокуратура України,"заступник начальника відділу представництва інтересів дітей та держави в судах, захисту їх прав при виконанні судових рішень управління ювенальної юстиції",prokuratura,139200,25000,,,30353,
Атаманюк Інна Олександрівна,Генеральна прокуратура України,прокурор відділу забезпечення представництва у вищих судах управління представництва інтересів громадян або держави в суді Департаменту підтримання державного обвинувачення та представництва інтересів громадянина або держави в судах,prokuratura,,91634,,,91634,
Атрошенко Владислав Анатолійович,Чернігівська міська рада,міський голова,golova,19779230,1067576,,,1828315,
Ахіджанов Баграт Рафікович,Міністерство аграрної політики та продовольства України,Директор департаменту фінансово-кредитної політики,ministerstvo,3335458,68750,,24850,224123,
Баб'юк Петро Михайлович,Тернопільський окружний адміністративний суд,суддя,suddia,876774,,,,33722,Тернопіль
Бабак Альона Валеріївна,Верховна Рада України,Народний депутат України,deputat,433000,68734,,57656,148232,
Бабенко Валерій Борисович,Верховна Рада України,народний депутат України,deputat,170000,100000,,2000,108718,
Бабенко Володимир Миколайович,Апеляційний суд Черкаської області,Голова суду,suddia,,33045,,,33045,Черкаси
Бабенко Костянтин Анатолійович,Київський апеляційний адміністратитвний суд,суддя,suddia,330000,37800,,12000,63572,Київ
Бабич Анжеліка Миколаївна,Черкаський окружний адміністративний суд,суддя,suddia,,52000,,,52000,Черкаси
Бабич Сергій Васильович,Романівський районний суд Житомирської області,Суддя,suddia,7463,40003,,,40290,Житомир
Бабій Андрій Михайлович,Львівська місцева прокуратура №2 Львівської області,заступник керівника,prokuratura,,14000,,17000,32530,Львів
Бабій Сергій Олександрович,Павлоградський міськрайонний суд Дніпропетровської області,суддя,suddia,28276,68300,,20018,91207,Дніпропетровськ
Бабій Юрій Юрійович,Верховна Рада України,Народний депутат України,deputat,,445000,,,445000,
Бабіков Олександр Петрович,Прокуратура Харківської області,начальник відділу,prokuratura,318017,15000,,,27231,Харків
Бабко Вікторія Володимирівна,Немишлянський відділ Харківської місцевої прокуратури №3 ,прокурор відділу ,prokuratura,,50000,,,50000,Харків
Багінська Леся Володимирівна,Прокуратура м.Києва,"Прокурор відділу організації представницва управління захисту, представництва інтересів громадян та держави в суді прокуратури м. Києва",prokuratura,,24000,,,24000,
Бажанська Альона Миколаївна,Слідче управління ГУ Національної поліції України в Чернівецькій області,слідчий,slidchi,,28200,,,28200,Чернівці
Бажанський Євген Мирославович,Сторожинецька місцева прокуратура Чернівецької області,Заступник керівника,prokuratura,,28200,,,28200,Чернівці
БАЗУРКАЄВ ОМАР АХМАНОВИЧ,Генеральна прокуратура України,начальник відділу,prokuratura,,32500,,,32500,
Байрачний Андрій Леонідович,Генеральна прокуратура України,Прокурор відділу організаційно-методичної роботи та координації діяльності правоохоронних органів у сфері протидії злочинності Департаменту нагляду за додержанням законів у кримінальному провадженні та координації правоохоронної діяльност,prokuratura,,84100,,,84100,
Байтала Михайло Романович,Міністерство внутрішніх справ України,Начальник відділу взаємодії з Державною службою України з надзвичайних ситуацій Управління взаємодії з ЦОВВ Департаменту формування політики щодо підконтрольних Міністрові органів влади та моніторингу МВС,ministerstvo,200000,20000,,,27692,
БАЙТАЛЮК ВОЛОДИМИР ДМИТРОВИЧ,Господарський суд Чернівецької області,Суддя,suddia,871753,,,,33528,Чернівці
Байчас Владислав Михайлович,Бориспільська районна рада,Голова Бориспільської районної ради,golova,1043027,197000,,20800,259788,
Бакулін Євген Миколайович,Верховна Рада України,Народний депутат України,deputat,1627202,636676,,873916,1651829,
Бакуліна Світлана Віталіївна,Вищий господарський суд України,суддя,suddia,1600000,1190,,,62728,
Бакуменко Олександр Борисович,Верховна Рада України,Народний депутат України,deputat,,150000,,,150000,
Балабан Руслан Миронович,Генеральна прокуратура України,заступник начальника відділу,prokuratura,,27500,,,27500,
БАЛАСИНОВИЧ НАТАЛЬЯ АЛЕКСАНДРОВНА,Васильківська районна рада Київської області,Голова Васильківської районної ради,golova,700340,78250,,,105186,Київ
Балац Сергій Валерійович,Господарський суд міста Києва,суддя,suddia,130458,60000,12000,10286,90629,
Балєв Юрій Олександрович,прокуратура Чернігівської області,перший заступник прокурора області,prokuratura,250000,35000,,,44615,
Балита Роман Іванович,Генеральна прокуратура України,заступник начальника Департаменту нагляду у кримінальному провадженні,prokuratura,95000,59000,,,62653,
Балицький Євген Віталійович,Верховна Рада України,Народний депутат України,deputat,50070000,6000,,3683,1935783,
Балога Андрій Вікторович,Мукачівська міська рада,Мукачівський міський голова,golova,11199369,,,805000,1308194,
Балога Віктор Іванович,Верховна Рада України,народний депутат України,deputat,542611,110000,,780000,981069,
Балога Іван Іванович,Верховна Рада України,Народний депутат України,deputat,8456451,1077000,,470613,1915216,
Балога Павло Іванович,Верховна Рада України,народний депутат України,deputat,3571547,250000,,1312995,1818531,
Балуєв Станіслав Сергійович,Закарпатська митниця ДФС,Начальник управління адміністрування митних платежів та митно-тарифного регулювання,ministerstvo,,90000,,,90000,Закарпаття
Бандуров Володимир Володимирович,Верховна рада України,народний депутат,deputat,30704483,1300000,,200000,2698941,
Баньков Олександр Сергійович,Міністерство закондонних справ України,директор департаменту секретаріату Міністра,ministerstvo,,40000,,,40000,
БАРАНЕНКО ІГОР ІВАНОВИЧ,"місто Київ, вулиця Різницька, 13/15, Генеральна прокуратура України",Старший прокурор відділу Генеральної прокуратури України (з 07.05.2015 військова служба за мобілізацією на офіцерських посадах),prokuratura,,38000,,,38000,Київ
Баранов Дмитро Олександрович,Господарський суд міста Києва,суддя,suddia,1132004,,,,43538,
Баранов Микола Миколайович,Господарський суд Вінницької області,голова суду,golova,105259,80847,,,84895,Вінниця
Баранюк Андрій Зіновійович,Тернопільський окружний адміністративний суд,суддя,suddia,792500,,,,30480,Тернопіль
Барбазюк Олексій Андрійович,Військово-медичний департамент Міністерства оборони України,Начальник лікувально-евакуаційного відділу,ministerstvo,,28000,,20000,49800,
Барвіненко Віталій Дмитрович,Верховна Рада України,Народний депутат України,deputat,5711000,710000,,170000,1114953,
БАРІЛОВ ДЕНИС ВОЛОДИМИРОВИЧ,Військова прокуратура Рівненського гарнізону Західного регіону України,прокурор військової прокуратури Рівненського гарнізону Західного регіону України,prokuratura,,32592,,,32592,Рівне
Барна Олег Степанович,Верховна Рада України,Народний депутат України,deputat,75000,52306,,2090,57468,
Бартащук Любов Петрівна,Дніпровський районний суд міста Києва,суддя заступник голови суду,suddia,,117000,,4500,121905,Дніпропетровськ
Басай Олег Вікторович,Київський окружний адміністративний суд, голова суду,suddia,29568287,,,,1137241,Київ
Басараб Сергій Михайлович,Івано-Франківська обласна рада,Заступник голови Івано-Франківської обласної ради,golova,1425000,490000,,20000,566607,Івано-Франківськ
Басов Дмитро Миколайович,Генеральна прокуратура України,заступник начальника Департаменту спеціальних розслідувань - начальник управління спеціальних розслідувань Генеральної прокуратури України,prokuratura,145000,18000,,3000,26846,
Басова Наталія Миколаївна,Луганський окружний адміністративний суд,суддя,suddia,930586,,,,35791,Луганськ
Басюк Олександр Григорович,Міністерство інфраструктури України,Заступник директора Департаменту реформування та функціонування морського та річкового транспорту - начальник відділу формування нормативно-правової бази у сфері морського та річкового транспорту,ministerstvo,1500000,,,,57692,
Батенко Тарас Іванович,Верховна Рада України,народний депутат,deputat,1185000,,,,45576,
Баулін Юрій Васильович,Конституційний Суд України,Голова,suddia,,30848,,38207,72493,
Бахтеєва Тетяна Дмитрівна,Верховна Рада України,Народний депутат України,deputat,747429,32000,,27000,90177,
Бацуца Віталій Михайлович,Господарський суд Київської області,суддя,suddia,116867,37000,,,41494,Київ
Бацуца Тетяна Миколаївна,Хмельницький міськрайонний суд Хмельницької області,Голова суду,suddia,1328690,,,,51103,Хмельницький
Бачинський Володимир Михайлович,Міністерство закордонних справ України,Заступник директора Департаменту Європейського Союзу,ministerstvo,890,40701,,,40735,
Бачинський Ярослав Романович,Національне антикорупційне бюро України,детектив Національного бюро Першого відділу детективів Третього підрозділу детективів Головного підрозділу детективів,slidchi,126254,20000,,,24855,
Бачун Олександр Ігорович,Миколаївський районний суд Львівської області,суддя,suddia,27000,26000,,,27038,Львів
Башинський Роман Сергійович,Міністерство оборони України,Директор Департаменту,ministerstvo,449000,14000,,,31269,
Башкіров Олексій Юрійович,Департамент Державної архітектурно-будівельної інспекції у Київській області,Начальник відділу по роботі з дозвільними документами,inspector,640000,10000,,,34615,Київ
Бедриківський Володимир Володимирович,Генеральна прокуратура України,начальник Департаменту нагляду за додержанням законів у кримінальному провадженні та координації правоохоронної діяльності,prokuratura,247875,101521,,8551,120375,
Бежан Максим В'ячеславович,Сторожинецька місцева прокуратура Чернівецької області,Прокурор прокуратури,prokuratura,,30862,,297,31185,Чернівці
Безбородов Євген Миколайович,Прокуратура Харківської області,Заступник прокурора Харківської області,prokuratura,,95000,,,95000,Харків
Бездітко Денис Володимирович,Харківський окружний адміністративний суд,Суддя,suddia,3200,50000,,,50123,Харків
Безименна Наталія Вікторівна,Київський апеляційний адміністративний суд,Суддя,suddia,135000,20000,,,25192,Київ
БЕЗМАЩУК ЮЛІЯ ЮРІЇВНА,Національна академія прокуратури України,Старший викладач відділу,prokuratura,,40000,,,40000,
Безпалов Сергій Олександрович,Головне управління Національної поліції у місті Києві,Старший слідчий в ОВС- криміналіст ,slidchi,800000,,,,30769,
Безрукий Тарас Романович,Генеральна прокуратура України,начальник управління з розслідування у кримінальних провадженнях стосовно працівників прокуратури та інформаційної безпеки,prokuratura,,21500,,3000,24770,
Безушко Андрій Петрович,Слідче управління фінансових розслідувань Офісу великих платників податків Державної фіскальної служби ,старший слідчий з особливо важливих справ першого відділу розслідування кримінальних проваджень,slidchi,790000,5000,,,35384,
Белов Сергій Валерійович,господарський суд Чернігівської області,суддя,suddia,,50000,,,50000,
Белоконна Інна Вікторівна,Оболонський районний суд міста Києва,суддя,suddia,,205000,,,205000,
Беляк Марина Миколаївна,СУФР ДПІ у Печерськиму районі ГУ ДФС у м.Києві,Слідчий,slidchi,82000,21000,,,24153,
Бендик Ярослав Миколайович,Прокуратура Київської області,Заступник прокурора області,prokuratura,500000,23000,,,42230,Київ
Бенедик Анна Петрівна,Харківський апеляційний адміністративний суд,Заступник голови суду,suddia,362685,30000,,,43949,Харків
Бердій Микола Антонович,Рівненський міський суд Рівненської області,суддя,suddia,630000,10000,,,34230,Рівне
Береза Борислав Юхимович,Верховна Рада України,Народний депутат УКраїни,deputat,3557542,207574,5500,18070,370698,
Березенко Сергій Іванович,Верховна Рада України,Народний депутат України,deputat,2184368,123115,,15000,223479,
Березкін Станіслав Семенович,Верховна Рада України,Народний депутат України,deputat,30637322,740000,,1548,1920045,
Березовська Людмила Ігорівна,прокуратура Івано-Франківської області,"прокурор відділу нагляду за додержанням законів при провадженні оперативно-розшукової діяльності територіальними органами поліції, органами СБУ та державної прикордонної служби, процесуального керівництва при провадженні досудового розслідування органами СБУ управління нагляду укримінальному провадженні прокуратури Івано-Франківської області",prokuratura,165000,79700,,6500,93131,Івано-Франківськ
Бернашевський Олександр Вячеславович,Дунаєвецька районна державна адміністрація Хмельницької області,голова Дунаєвецької районної державної адміністрації Хмельницької області,golova,929327,62000,,56000,158783,Хмельницький
Бех Олег Володимирович,Головне управління Національної поліції в Полтавській области,Начальник Головного управління Національної поліції в Полтавській области,slidchi,460000,45000,,,62692,Полтава
Бешта Петро Петрович,"Міністерство закордонних справ України, Політичний департамент",Заступник директора департамента,ministerstvo,2140700,,,,82334,
Бєлік Вікторія Геннадіївна,господарський суд Дніпропетровської області,суддя,suddia,115000,49000,,,53423,Дніпропетровськ
Бєлова Людмила Василівна,Київський апеляційний адміністративний суд,суддя Київського апеляційного адміністративного суду,suddia,290000,49000,,,60153,Київ
Бєлькова Ольга Валентинівна,Верховна Рада України ,народний депутат України ,deputat,124736,215261,,3095,223432,
БЄЛЯК ВІКТОРІЯ ОЛЕКСАНДРІВНА,Сєвєродонецький відділ поліції Управління національної поліції України в Луганській області ,слідчий,slidchi,,120000,,,120000,Донецьк
Бєляновський Володимир Віталійович,Одеський апеляційний господарський суд,суддя,suddia,810000,,,,31153,Одеса
Бившева Людмила Іванівна,Вищий адміністративний суд України,суддя,suddia,24186,49169,,,50099,
Биков Дмитро Геннадійович,Горішньоплавнівська міська рада Полтавської області,Міський голова,golova,,252583,,,252583,Полтава
Битківський Любомир Михайлович,Богородчанський районний суд,Суддя ,suddia,,25007,,,25007,
Бичков Сергій Іванович,Міністерство соціальної політики України,Директор департаменту ,ministerstvo,7601043,,,,292347,
Бичков Сергій Миколайович,Очаківська міська рада,Міський голова,golova,,195886,,,195886,
Бібро Катерина Олександрівна,Міністерство юстиції України,Начальник відділу,ministerstvo,16898,50000,,,50649,
Біжко Сергій Віталійович,Краматорська місцева прокуратура Донецької області,керівник,prokuratura,,30000,,,30000,Донецьк
Біленький Олександр Юрійович,Полтавська обласна рада,Голова обласної ради,golova,650000,576000,,,601000,Полтава
Білий Олексій Петрович,Верховна Рада Україні,народний депутат України,deputat,1394486,170210,46445,6032,286152,
Білик Ганна Олексіївна,Броварський міськрайонний суд Київської області,суддя,suddia,,34637,,,34637,Київ
Білинський Михайло Володимирович,Юр'ївський районний суд Дніпропетровської області,суддя,suddia,,,,27500,29975,Дніпропетровськ
Білляр Костянтин Леонідович,Міністерство закордонних справ України,Заступник начальника управління консульського забезпечення - начальник відділу центру оперативного реагування Департаменту консульської служби,ministerstvo,,42000,,,42000,
Білова Ольга Валентинівна,Харківський окружний адміністративний суд,суддя,suddia,399856,492096,,,507475,Харків
Біловар Руслан Йосипович,Генеральна прокуратура України,прокурор відділу запобігання правопорушенням у територіальних прокуратурах Управління внутрішньої безпеки та захисту працівників прокуратури Генеральної прокуратури України (з місцем дислокації у прокуратурі Закарпатсьокї області),prokuratura,1321000,180000,,73000,310377,Закарпаття
Біловицька Олена Василівна,Міністерство соціальної політики України,Начальник відділу,ministerstvo,359160,9650,,840,24379,
Біловол Олександр Миколайович,Верховна Рада України,Народний депутат України,deputat,130000,85000,,47000,141230,
Білодід Ігор Миколайович,прокуратура Харківської області,заступник начальника відділу забезпечення державного обвинувачення у регіоні,prokuratura,,38700,,,38700,Харків
Білозір Оксана Володимирівна,Верховна Рада України ,народний депутат України,deputat,11894144,60977,,6177,525177,
Білозьорова Людмила Володимирівна,прокуратура Харківської області,заступник начальника відділу нагляду за додержаннм законів органами фіскальної служби прокуратури Харківської області,prokuratura,1700000,,,,65384,Харків
Білоноженко Марина Анатоліївна,Черкаський окружний адмністративний суд,суддя,suddia,29304,24600,,,25727,Черкаси
БІЛОУС ЄВГЕН МИХАЙЛОВИЧ,Державна екологічна інспекція у Київській області,Начальник Державної екологічної інспекції у Київській області,inspector,1000000,,,,38461,Київ
БІЛОУС ІГОР ОЛЕГОВИЧ,Фонд державного майна України,Голова Фонду державного майна України,,1336435,971046,,158783,1195520,
Білоус Олег Дмитрович,Прокурор Київської місцевої прокуратури №7,Прокурор,prokuratura,,50000,,,50000,Київ
Білоусов Андрій Леонідович,Кам'янська міська рада,Міський голова,golova,746558,,,,28713,
Білоусов Євген Олександрович,військова прокуратура Західного регіону України,перший заступник військового прокурора Західного регіону України,prokuratura,174691,47166,,,53884,
Білоусов Сергій Миколайович,господарський суд Полтавської області,суддя господарського суду Полтавської області,suddia,,40000,,,40000,Полтава
Білоусова Ярослава Олексіївна,Харківський апеляційний господарський суд,суддя,suddia,,130000,,,130000,Харків
Білоцерковець Дмитро Олександрович,Верховна Рада України,Народний депутат України,deputat,60000,35000,,37000,77637,
Бірса Оксана Володимирівна,Дніпровський районний суд міста Києва,"суддя, заступник голови суду",suddia,250000,102000,,,111615,Дніпропетровськ
Бірюк Олег Валерійович,Секретаріат Кабінету Міністрів України,Завідуючий відділом з питань охорони здоров'я Управління гуманітарної політики Департаменту гуманітарної та соціальної політики ,ministerstvo,,27000,,8000,35720,
Бірюков Руслан Миколайович,Головне управління національної поліції в Полтавській області,заступник начальника Головного управління національної поліції в Полтавській області - начальник кримінальної поліції,slidchi,520000,12000,,5700,38213,Полтава
Бітов Андрій Іванович,Одеський апеляційний адміністративний суд,"суддя, голова суду",suddia,198823,44563,,61,52276,Одеса
