,created_date,name,office,position,uuid,Декларант/активи у дорогоцінних (банківських) металах/UAH,Декларант/активи у дорогоцінних (банківських) металах/USD,Декларант/внески до кредитних спілок та інших небанківських фінансових установ/UAH,Декларант/внески до кредитних спілок та інших небанківських фінансових установ/USD,Декларант/готівкові кошти/BGN,Декларант/готівкові кошти/CAD,Декларант/готівкові кошти/CHF,Декларант/готівкові кошти/CNY,Декларант/готівкові кошти/EUR,Декларант/готівкові кошти/GBP,Декларант/готівкові кошти/GEL,Декларант/готівкові кошти/HKD,Декларант/готівкові кошти/HUF,Декларант/готівкові кошти/JPY,Декларант/готівкові кошти/NOK,Декларант/готівкові кошти/PLN,Декларант/готівкові кошти/QAR,Декларант/готівкові кошти/RUB,Декларант/готівкові кошти/SAR,Декларант/готівкові кошти/UAH,Декларант/готівкові кошти/USD,"Декларант/кошти, позичені третім особам/EUR","Декларант/кошти, позичені третім особам/GBP","Декларант/кошти, позичені третім особам/UAH","Декларант/кошти, позичені третім особам/USD","Декларант/кошти, розміщені на банківських рахунках/CAD","Декларант/кошти, розміщені на банківських рахунках/CHF","Декларант/кошти, розміщені на банківських рахунках/DKK","Декларант/кошти, розміщені на банківських рахунках/EUR","Декларант/кошти, розміщені на банківських рахунках/GBP","Декларант/кошти, розміщені на банківських рахунках/GEL","Декларант/кошти, розміщені на банківських рахунках/RUB","Декларант/кошти, розміщені на банківських рахунках/UAH","Декларант/кошти, розміщені на банківських рахунках/USD",Декларант/інше/EUR,Декларант/інше/RUB,Декларант/інше/UAH,Декларант/інше/USD,Родина/активи у дорогоцінних (банківських) металах/UAH,Родина/активи у дорогоцінних (банківських) металах/USD,Родина/внески до кредитних спілок та інших небанківських фінансових установ/EUR,Родина/внески до кредитних спілок та інших небанківських фінансових установ/UAH,Родина/внески до кредитних спілок та інших небанківських фінансових установ/USD,Родина/готівкові кошти/CAD,Родина/готівкові кошти/CHF,Родина/готівкові кошти/EUR,Родина/готівкові кошти/GBP,Родина/готівкові кошти/HUF,Родина/готівкові кошти/NOK,Родина/готівкові кошти/PLN,Родина/готівкові кошти/RUB,Родина/готівкові кошти/UAH,Родина/готівкові кошти/USD,"Родина/кошти, позичені третім особам/EUR","Родина/кошти, позичені третім особам/UAH","Родина/кошти, позичені третім особам/USD","Родина/кошти, розміщені на банківських рахунках/CAD","Родина/кошти, розміщені на банківських рахунках/CHF","Родина/кошти, розміщені на банківських рахунках/EUR","Родина/кошти, розміщені на банківських рахунках/GBP","Родина/кошти, розміщені на банківських рахунках/RUB","Родина/кошти, розміщені на банківських рахунках/SEK","Родина/кошти, розміщені на банківських рахунках/UAH","Родина/кошти, розміщені на банківських рахунках/USD",Родина/інше/EUR,Родина/інше/RUB,Родина/інше/UAH,Родина/інше/USD
59884,2016-10-27 0:00:00,Мірошниченко Галина Миколаївна,прокуратура Харківської області, прокурор відділу організаційного та правового забезпечення,0f306ec9-a7e3-4c0a-b963-38833f924188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14418,2016-10-27 0:00:00,Куліковська Лілія Богданівна,Прокуратура Тернопільської області, прокурор відділу представництва при виконанні судових рішень управління представництва інтересів громадян та держави в суді,3a64b3e3-2362-4335-a95a-57747cb80178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103281,2016-10-29 0:00:00,Бабін Олександр Дмитрович,прокуратура Одеської області, прокурор відділу процесуального керівництва при провадженні досудового розслідування територіальними органами поліції та підтримання державного обвинувачення управління нагляду за додержанням законів у кримінальному провадженні та координації правоохоронної діяльності прокуратури Одеської області,9f8485a0-daf5-4ce1-85a4-db9a9fda093d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56244,2016-10-29 0:00:00,Захарченко Павло Йосипович,Генеральна прокуратура України," Прокурор відділу розгляду звернень громадян управління організації прийому громадян, розгляду звернень та запитів Генеральної прокуратури України ",85ac84e0-83b8-47cd-ada0-e9b1b7e76041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,
9913,2016-10-18 0:00:00,Киричук Максим Юрійович,прокуратура Волинської області , прокурор Волинської області,e6d812b7-c599-4caa-9364-f8f56554cac1,,,,,,,,,,,,,,,,,,,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91321,2016-10-23 0:00:00,Янчук Дмитро Леонідович,Прокуратура міста Києва, Прокурор Київської місцевої прокуратури № 5,f3c1888e-7223-471c-9473-ab3d7616e65e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96824,2016-10-19 0:00:00,Петрікеєва Ольга Ігорівна,Кіровоградська місцева прокуратура, прокурор Кіровоградської місцевої прокуратури,6bae7c07-bc8c-4403-9ba2-ff8c451fddcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102628,2016-10-28 0:00:00,Кирилюк Альона Анатоліївна,Одеська місцева прокуратура №2, прокурор Одеської місцевої прокуратури №2,22e1a37c-6d28-45eb-9132-1e0ce1103c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49063,2016-10-27 0:00:00,Узун Дмитро Михайлович,прокуратура Дніпропетровської області, прокурора прокуратури Індустріального району м. Дніпропетровська,2fe630e6-64a6-4c2f-be13-707385c6814c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10616,2016-10-25 0:00:00,Балда Андрій Євгенович,прокуратура Тернопільської області, слідчий в особливо важливих справах слідчого відділу прокуратури Тернопільської області,768cdab8-df08-4dd7-b150-2e792eae09b8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79159,2016-10-26 0:00:00,Старостенко Ігор Олександрович,Прокуратура Донецької області,"2-й слідчий відділ слідчого управління прокуратури Донецької області, слідчий в особливо важливих справах",d4b7add0-b1bc-49e8-8652-34a3cb5c9415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100716,2016-10-12 0:00:00,Венгер Сергій Володимирович,Прокуратура Полтавської області,В.о. заступника прокурора Київського району міста Полтави ,8e63b5bc-0d15-4273-96cf-b1c9dd94eb24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30011,2016-10-22 0:00:00,Юрченко Юрій Сергійович,Прокуратура Дніпропетровської області,в.о. начальника управління прокуратури Дніпропетровської області,a1a1bc9b-a98c-47b5-855a-01d7749a6aaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95199,2016-10-28 0:00:00,Івах Наталія Андріївна,прокуратура Індустріального району м. Дніпропетровська ,виконувач обов'язків прокурора прокуратури Індустріального району м. Дніпропетровська,ea4dee63-79cc-4595-b17b-8f080ba021f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64265,2016-10-29 0:00:00,Дмітрієв Юрій Володимирович,прокуратура Рівненської області,"виконувач обов""язків начальника управління нагляду прокуратури Рівненської області",2f649660-c556-415c-bc56-657a7f7c40fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55881,2016-10-27 0:00:00,Макаренко Артем Ігорович,прокуратура Черкаської області,відділ нагляду за додерженням законів територіальними органами поліції при провадженні досудвого розслідування та підтриманням державного обвинувачення управління нагляду у кримінальному провадженні прокуратури Черкаської області,2c2116db-a424-4143-a024-65f28f088c39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61388,2016-10-28 0:00:00,Кравченко Алла Анатоліївна,Прокуратура Чернігівської області,Відділ представництва інтересів громадянина або держави в суді та при виконанні судових рішень прокуратури Чернігівської області,d35fd268-63b2-4801-a091-fe5c74c229e6,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81096,2016-10-25 0:00:00,Габрієлян Руслан Романович,військова прокуратура Кіровоградського гарнізону Південного регіону України,військовий прокурор,2c0e3db1-6296-4663-bac6-175a4d1fc747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37778,2016-10-20 0:00:00,Галичанський Ігор Валентинович,Військова прокуратура Сумського гарнізону Центрального регіону України,Військовий прокурор,5d8be4a7-c1ed-428e-88a2-f896526a9706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103212,2016-10-29 0:00:00,Грищенко Роман Сергійович,Військова прокуратура Київського гарнізону Центрального регіону України,військовий прокурор,e21ce409-7dc9-4567-a194-69ca136b1eeb,,,,,,,,,,,,,,,,,,,,,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6924,2016-10-24 0:00:00,Збаражський Олег Миколайович,Військова прокуратура Полтавського гарнізону Центрального регіону України,Військовий прокурор,041a0289-6264-4137-b38f-c8767b0726c4,,,,,,,,,,,,,,,,,,,,,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28415,2016-10-29 0:00:00,Ціцак Олег Васильович,Військова прокуратура Ужгородського гарнізону Західного регіону України,Військовий прокурор (керівник прокуратури),5edaaaad-4287-456a-af60-7281be72dea4,,,,,,,,,,,,,,,,,,,,180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41433,2016-10-27 0:00:00,Цупка Олександр В'ячеславович,Військова прокуратура Білгород-Дністровського гарнізону Південного регіону України,Військовий прокурор Білгород-Дністровського гарнізону,5c480471-5364-4b2e-a186-59e796dc225b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77505,2016-10-28 0:00:00,Леонідов Володимир Олександрович,військова прокуратура Білоцерківського гарнізону Центрального регіону України,військовий прокурор Білоцерківського гарнізону,e614afc5-c3ca-46e7-9358-02fe889c1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88312,2016-10-29 0:00:00,Клепіковський Володимир Геннадійович,Військова прокуратура Вінницького гарнізону Центрального регіону України,військовий прокурор Вінницького гарнізону Центрального регіону України,24d05051-30e2-4970-984d-dad773f811d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32109,2016-09-27 0:00:00,Уразовський Володимир Іванович,військова прокуратура Черкаського гарнізону Центрального регіону України,військовий прокурор гарнізону,1dbd5817-a825-4066-8e37-ecd9818ac225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,,,,,
5883,2016-10-25 0:00:00,Петришин Микола Степанович,Військова прокуратура Дарницького гарнізону Центрального регіону України,Військовий прокурор Дарницького гарнізону Центрального регіону України,a01f14fa-92b2-4375-a4ac-8ad571662a7d,,,,,,,,,,,,,,,,,,,,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
36234,2016-10-29 0:00:00,Бакало Роман Анатолійович,військова прокуратура Деснянського гарнізону Центрального регіону України,військовий прокурор Деснянського гарнізону,016482d4-8aa9-421b-9d6f-596d9f5711c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93935,2016-10-26 0:00:00,Коцюба Сергій Анатолійович,Військова прокуратура Дніпропетровського гарнізону Південного регіону України,Військовий прокурор Дніпропетровського гарнізону Південного регіону України,393cb3a9-8b86-42a8-9c7a-b96190fae052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16435,2016-10-29 0:00:00,Вдовитченко Віталій Олександрович,Військова прокуратура Донецького гарнізону,Військовий прокурор Донецького гарнізону,9887b9b0-7a78-497d-bdfd-1fa7dcae1a94,,,,,,,,,1000,,,,,,,,,,,10000,3000,,,,,,,,,,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179,2016-10-29 0:00:00,Войтенко Антон Борисович,Військова прокуратура Житомирського гарнізону Центрального регіону України,Військовий прокурор Житомирського гарнізону,80c57cd6-f7c2-4b52-b854-6a0810392c16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54223,2016-10-28 0:00:00,Веліксар Андрій Іванович,Військова прокуратура Запорізького гарнізону Південного регіону України,Військовий прокурор Запорізького гарнізону Південного регіону України,8cf8261d-da48-4e79-ab05-79b8af2848f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41301,2016-10-28 0:00:00,Сенюк Олег Володимирович,військова прокуратура Західного регіону України,військовий прокурор Західного регіону України ,cb171492-d9c7-4f43-b590-56a71332a709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,,,,,,,,,,,,,,,
99765,2016-10-29 0:00:00,Солдатов Олександр Сергійович,Військова прокуратура Івано - Франківського гарнізону Західного регіону України,Військовий прокурор Івано-Франківського гарнізону,5ed0d82b-3170-439b-b42d-eab5238b7aac,,,,,,,,,,,,,,,,,,,,280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78955,2016-10-24 0:00:00,Миколайчук Андрій Борисович,військова прокуратура Криворізького гарнізону Південного регіону України ,військовий прокурор Криворізького гарнізону Південного регіону України ,6133b755-9bb1-4f06-82a1-70411489ca67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93501,2016-10-30 0:00:00,Мрочко Роман Миколайович,Військова прокуратура Луганського гарнізону сил антитерористичної операції,військовий прокурор Луганського гарнізону ,829dced0-a054-404f-ab2e-45af3b80e4d5,,,,,,,,,,,,,,,,,,,,107000,43000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11140,2016-10-29 0:00:00,Давидов Євген Олександрович,військова прокуратура Луцького гарнізону Західного регіону України,військовий прокурор Луцького гарнізону Західного регіону України,906647d8-a0d6-4856-bc69-2a25ad5b2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4326,2016-10-29 0:00:00,Савинець Владислав Васильович,військова прокуратура Львівського гарнізону Західного регіону України,військовий прокурор Львівського гарнізону ,ddf41841-9a81-40e4-9727-46bbe4a820ed,,,,,,,,,,,,,,,,,,,,,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000,,,,,,,,,,,,,,,
11816,2016-10-27 0:00:00,Улановський Олег Олегович,Військова прокуратура Маріупольського гарнізону сил антитерористичної операції,Військовий прокурор Маріупольського гарнізону,ec90e12d-9f6e-437e-9da7-fd9c042ca7b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26702,2016-10-15 0:00:00,Кіт Олександр Євгенович,військова прокуратура Миколаївського гарнізону Південного регіону України,військовий прокурор Миколаївського гарнізону,54aff2c2-418b-4760-af02-b542fabd5b3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54604,2016-10-29 0:00:00,Лузан Володимир Леонідович,Військова прокуратура Одеського гарнізону,Військовий прокурор Одеського гарнізону,cdb57ddd-e7c7-4b10-8c90-ad73bf2cc1e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88778,2016-10-29 0:00:00,Якубовський Максим Вікторович,Військова прокуратура Південного регіону України,Військовий прокурор Південного регіону України,23b24cb5-9dd0-43d0-b3da-1331d6f03415,,,,,,,,,,,,,,,,,,,,,9500,,,,,,,,,,,,,,,,,,,,,,,,,21800,,,,,,,12000,,,,,,2516,,,,,,,,,
75916,2016-10-30 0:00:00,ПЕТРЕЧЕНКО ВІКТОР МИКОЛАЙОВИЧ,Військова прокуратура Західного регіону України,військовий прокурор Рівненського гарнізону,88036965-ef36-47b9-9a06-8b5ca258a646,,,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000,,,,,,,,,,,,,,,
92280,2016-10-28 0:00:00,Кулик Костянтин Геннадійович,Головна військова прокуратура Генеральної прокуратури України,Військовий прокурор сил антитерористичної операції,9c25a12e-137f-46cd-8ce6-f11281ddba72,,,,,,,,,,,,,,,,,,,,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99922,2016-10-28 0:00:00,Федчишин Олександр Григорович,Військова прокуратура Тернопільського гарнізону Західного регіону України,Військовий прокурор Тернопільського гарнізону Західного регіону України,bc5c4c98-d0b5-4c0b-bd6a-a9f2c08fd04b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41967,2016-10-26 0:00:00,Бугаєць Артем Вікторович,Військова прокуратура Харківського гарнізону прокуратури сил антитерористичної операції,Військовий прокурор Харківського гарнізону,55c05d91-9a65-4908-a113-00ccf24790d7,,,,,,,,,,,,,,,,,,,,80000,,,,,,,,,,,,,47025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88207,2016-10-21 0:00:00,Гром Юрій Володимирович,Військова прокуратура Південного регіону України,Військовий прокурор Херсонського гарнізону Південного регіону України,ffc07414-cf19-4588-98b0-135dab3dd2a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15247,2016-10-29 0:00:00,Стражник Олексій Володимирович,Військова прокуратура Західного регіону України,Військовий прокурор Хмельницького гарнізону,b70c4388-a545-4ea3-af3e-bbd6ab1b3ef6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43408,2016-10-29 0:00:00,Рябенко Григорій Миколайович,Військова прокуратура Центрального регіону України,військовий прокурор Центрального регіону України,d8bcae31-6d56-4e57-aef9-542110ac2b62,,,,,,,,,80000,,,,,,,,,,,1200000,255000,,,,,,,,,,,,508003,,,,,,73260,,,,,,,,,,,,,,,,,,,,,,,,375420,,,,,
70232,2016-10-28 0:00:00,Бойко Петро Григорович,Військова прокуратура Західного регіону України,військовий прокурор Чернівецького гарнізону Західного регіону України,0a53f442-1d4a-4477-bfde-8221b0d4a9d9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102101,2016-10-10 0:00:00,Барановський Дмитро Анатолійович,військова прокуратура Чернігівського гарнізону,військовий прокурор Чернігівського гарнізону,c125fd13-02f3-47bc-9d6a-4f020f1105ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15447,2016-10-19 0:00:00,Малишев Дмитро Олександрович,прокурор відділу ,Генеральна прокуратура України,ea03ff12-927e-4f26-ba74-342386c14c96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48771,2016-10-30 0:00:00,Луценко Юрій Віталійович,Генеральна прокуратура України,Генеральний прокурор України,fb387fd2-76af-4f29-b7dd-339b93c3dd6f,,,,,,,,,,,,,,,,,,,,150000,,,,,,,,,469,,,,12514,6472,,,,,,,,,,,,50000,,,,,,1830815,280000,,7713889,,,,1392,,,,2240121,1556,,,,
